,item_number,consumption_date,qty
0,654T0035-23,2020-12-20,1.0
1,AS3208-05,2020-12-20,1.0
2,CH34743,2020-12-20,1.0
3,241076,2020-12-21,6.0
4,2602195,2020-12-21,6.0
5,28301-12,2020-12-21,12.0
6,285N0412-1,2020-12-21,-1.0
7,289-601-248,2020-12-21,12.0
8,301-1-4HARD032,2020-12-21,1.0
9,44066WE,2020-12-21,6.0
10,592XS2-629,2020-12-21,1.0
11,65C33095-5,2020-12-21,2.0
12,68-1448,2020-12-21,15.0
13,68-269,2020-12-21,6.0
14,720752-14WE,2020-12-21,1.0
15,856504-2,2020-12-21,1.0
16,AC21-50,2020-12-21,-1.0
17,ACIFL00105-764,2020-12-21,16.0
18,ACIFL00347-764,2020-12-21,16.0
19,AS3208-02,2020-12-21,1.0
20,AS3209-009,2020-12-21,4.0
21,AS3582-028,2020-12-21,-6.0
22,AS43003-908,2020-12-21,3.0
23,BAC27NCT0176,2020-12-21,-1.0
24,BACB30NY6K7X,2020-12-21,6.0
25,BACC30M6,2020-12-21,12.0
26,BACR13CF2A,2020-12-21,1.0
27,BACR15BA6AD11C,2020-12-21,50.0
28,BACR15BA6AD8C,2020-12-21,3.0
29,CB200-40,2020-12-21,1.0
30,CB6009CR3-1P,2020-12-21,8.0
31,J221P905,2020-12-21,-1.0
32,LJ75995,2020-12-21,0.0
33,LM718910-20629,2020-12-21,1.0
34,M83248-1-011,2020-12-21,4.0
35,NAS1303-4,2020-12-21,2.0
36,NAS1801-3-9,2020-12-21,1.0
37,NAS8702-2,2020-12-21,10.0
38,PLH55CD,2020-12-21,-8.0
39,RTV106,2020-12-21,4.0
40,S8990-608,2020-12-21,1.0
41,TR-RG6,2020-12-21,6.0
42,024257-000,2020-12-22,1.0
43,0LN115-18K,2020-12-22,2.0
44,10-60754-1,2020-12-22,5.0
45,10-60754-2,2020-12-22,-8.0
46,107175,2020-12-22,200.0
47,11-10638,2020-12-22,1.0
48,149N6016-36,2020-12-22,2.0
49,170-204,2020-12-22,8.0
50,327,2020-12-22,12.0
51,48-1825-02,2020-12-22,30.0
52,654T0035-23,2020-12-22,1.0
53,7586649,2020-12-22,2.0
54,90-0327-1WE,2020-12-22,1.0
55,A1-26-0086-002,2020-12-22,6.0
56,AS3208-05,2020-12-22,1.0
57,AS43003-908,2020-12-22,2.0
58,BAC27NCT0166,2020-12-22,1.0
59,BAC27NCT0176,2020-12-22,1.0
60,BACP18BC02A06P,2020-12-22,-2.0
61,BACP18BC03A10P,2020-12-22,-2.0
62,BACW10BP7DP,2020-12-22,-2.0
63,BHV7091L,2020-12-22,200.0
64,BHV7093L,2020-12-22,18.0
65,C0TT0NPARTSBAG,2020-12-22,500.0
66,CB6009AA3CRC1,2020-12-22,-14.0
67,GRAY1994-7,2020-12-22,20.0
68,GUYBLAST20-30,2020-12-22,25.0
69,LM120749-20629,2020-12-22,1.0
70,LM121349-20629,2020-12-22,1.0
71,LM718910-20629,2020-12-22,1.0
72,M81824-1-2,2020-12-22,30.0
73,MS24665-132,2020-12-22,2.0
74,MS24665-134,2020-12-22,2.0
75,NAS1149D0416J,2020-12-22,4.0
76,NAS1149F0532P,2020-12-22,2.0
77,P01074-101,2020-12-22,7.0
78,P0640-101,2020-12-22,2.0
79,P2-07-0021-002,2020-12-22,4.0
80,QA03963WE,2020-12-22,1.0
81,R256,2020-12-22,25.0
82,TURB0NYC0IL600,2020-12-22,24.0
83,W45655,2020-12-22,2.0
84,00083-002,2020-12-23,2.0
85,10-60754-1,2020-12-23,6.0
86,10-60754-2,2020-12-23,2.0
87,414N3300-1C,2020-12-23,1.0
88,592XS2-629,2020-12-23,1.0
89,65-45792-7,2020-12-23,35.0
90,65-76765-10,2020-12-23,35.0
91,68-1448,2020-12-23,9.0
92,BACB30NM3K5,2020-12-23,1.0
93,BACN10KE3DCD,2020-12-23,1.0
94,BMS3-33,2020-12-23,1.0
95,BMS3-35,2020-12-23,2.0
96,ED101208SD,2020-12-23,2.0
97,GREASE33TUBE,2020-12-23,1.0
98,LM718910-20629,2020-12-23,3.0
99,M31400,2020-12-23,1.0
100,N140N2138-1,2020-12-23,35.0
101,NYC0LUBE7870,2020-12-23,1.0
102,P01074-101,2020-12-23,183.0
103,SAMPLEKIT,2020-12-23,3.0
104,SL4093-14,2020-12-23,7.0
105,SP20523,2020-12-23,2.0
106,3011,2020-12-26,2.0
107,44066WE,2020-12-26,6.0
108,720752-10WE,2020-12-26,1.0
109,720752-14WE,2020-12-26,2.0
110,720752-33,2020-12-26,1.0
111,720752-58,2020-12-26,1.0
112,AS3208-02,2020-12-26,2.0
113,AS43003-908,2020-12-26,3.0
114,TURB0NYC0IL600,2020-12-26,1.0
115,3-16SIFZ45PPIWFR,2020-12-27,1.0
116,CH34743,2020-12-27,1.0
117,UP10575,2020-12-27,1.0
118,0LN115-18K,2020-12-28,2.0
119,10237-1,2020-12-28,8.0
120,10-60754-79,2020-12-28,7.0
121,108-2,2020-12-28,2.0
122,122-11124-1A,2020-12-28,12.0
123,170-204,2020-12-28,8.0
124,2-376S317-60,2020-12-28,2.0
125,2602195,2020-12-28,6.0
126,411N1109-9C,2020-12-28,3.0
127,412A1450-6A,2020-12-28,2.0
128,412A1810-2B,2020-12-28,60.0
129,4150S,2020-12-28,1.0
130,425L,2020-12-28,3.0
131,65-5930125,2020-12-28,18.0
132,65-5930138,2020-12-28,12.0
133,68-1448,2020-12-28,16.0
134,68-269,2020-12-28,6.0
135,70-1,2020-12-28,1.0
136,720752-10WE,2020-12-28,1.0
137,720752-33,2020-12-28,1.0
138,856504-2,2020-12-28,1.0
139,AS3208-02,2020-12-28,1.0
140,AS3209-009,2020-12-28,4.0
141,BACB30NX6K4X,2020-12-28,5.0
142,BACB30NX6K5X,2020-12-28,10.0
143,BACB30NX6K6X,2020-12-28,10.0
144,BACB30NY6K4X,2020-12-28,20.0
145,BACB30NY6K5X,2020-12-28,10.0
146,BACB30NY6K6X,2020-12-28,10.0
147,BACB30NY6K7X,2020-12-28,10.0
148,BACC30M6,2020-12-28,40.0
149,BMS3-33,2020-12-28,10.0
150,BMS3-35,2020-12-28,10.0
151,BMS5-133TYPEII,2020-12-28,2.0
152,GREASE33TUBE,2020-12-28,10.0
153,KR0IL,2020-12-28,2.0
154,M83248-1-011,2020-12-28,2.0
155,NAS1611-220A,2020-12-28,2.0
156,NAS1801-3-8,2020-12-28,3.0
157,NYC0LUBE7870,2020-12-28,-1.0
158,RTV174,2020-12-28,1.0
159,S8990-608,2020-12-28,1.0
160,TR-RG6,2020-12-28,6.0
161,TURB0NYC0IL600,2020-12-28,24.0
162,10237-1,2020-12-29,10.0
163,1728B,2020-12-29,20.0
164,2214014-1,2020-12-29,10.0
165,3011,2020-12-29,10.0
166,55-2199-3,2020-12-29,1.0
167,69B90191-4,2020-12-29,0.0
168,ADKB54N0035-10,2020-12-29,2.0
169,AS12801-149,2020-12-29,1.0
170,AS43013-123,2020-12-29,2.0
171,BACB10HH04,2020-12-29,1.0
172,BACB30NY6K4X,2020-12-29,20.0
173,BACB30NY6K5X,2020-12-29,18.0
174,BACB30VF4K5,2020-12-29,2.0
175,BACC10GU101,2020-12-29,1.0
176,BACC30M6,2020-12-29,30.0
177,BACC30M8,2020-12-29,0.0
178,BACC63BP16H10SN,2020-12-29,1.0
179,BACN11Z4CD,2020-12-29,2.0
180,BACR15BA4B6C,2020-12-29,2.0
181,BACS12CK3-8,2020-12-29,200.0
182,BACS12HN3-5,2020-12-29,400.0
183,BACW10BP4DP,2020-12-29,2.0
184,BMS3-33,2020-12-29,4.0
185,D436-36,2020-12-29,2.0
186,FHR8-2,2020-12-29,-2.0
187,GREASE33TUBE,2020-12-29,4.0
188,KB27114,2020-12-29,2.0
189,KB27120,2020-12-29,2.0
190,LM120710-20629,2020-12-29,1.0
191,LM121310-20629,2020-12-29,2.0
192,MARWEAR BLACK XL,2020-12-29,10.0
193,NAS1149D0416J,2020-12-29,2.0
194,NAS1149F0363P,2020-12-29,200.0
195,NAS1611-119,2020-12-29,0.0
196,NAS1801-3-8,2020-12-29,302.0
197,NAS1801-3-9,2020-12-29,300.0
198,NAS1805-4N,2020-12-29,2.0
199,PLT15IC,2020-12-29,400.0
200,U756263,2020-12-29,5.0
201,3M77,2020-12-30,1.0
202,412A1450-6A,2020-12-30,1.0
203,412A1810-2B,2020-12-30,20.0
204,44066WE,2020-12-30,-6.0
205,720752-14WE,2020-12-30,-1.0
206,720752-33,2020-12-30,-1.0
207,AN960JD616,2020-12-30,2.0
208,AS3208-02,2020-12-30,-1.0
209,BAC27DCC351,2020-12-30,9.0
210,BACB30NN3K6,2020-12-30,500.0
211,BACB30NN4K12,2020-12-30,200.0
212,BACB30NN4K18,2020-12-30,6.0
213,BACB30NN4K9,2020-12-30,200.0
214,BACN10KE3DCD,2020-12-30,-1.0
215,BACP11K4,2020-12-30,-1.0
216,BMS3-33,2020-12-30,2.0
217,CD01068F4,2020-12-30,2.0
218,GREASE33TUBE,2020-12-30,2.0
219,MS29513-118,2020-12-30,1.0
220,MS29513-326,2020-12-30,-1.0
221,MS29513-328,2020-12-30,-1.0
222,NAS1149D0663J,2020-12-30,2.0
223,NAS514P1032-5,2020-12-30,228.0
224,NAS514P832-7,2020-12-30,400.0
225,R0YC011MS,2020-12-30,1.0
226,SL4093-14,2020-12-30,2.0
227,TURB0NYC0IL600,2020-12-30,24.0
228,387,2021-01-02,130.0
229,BACR13CG2A,2021-01-02,1.0
230,KPC3-480-325,2021-01-02,1.0
231,1002BB7,2021-01-04,1.0
232,10P4-2,2021-01-04,1.0
233,113N1832-4,2021-01-04,2.0
234,1317,2021-01-04,10.0
235,1691,2021-01-04,8.0
236,1728B,2021-01-04,4.0
237,1978X,2021-01-04,2.0
238,214T3419-29,2021-01-04,5.0
239,251N1241-4,2021-01-04,1.0
240,290FR3,2021-01-04,1.0
241,387,2021-01-04,300.0
242,398FR,2021-01-04,1.0
243,4150S,2021-01-04,1.0
244,4309197,2021-01-04,24.0
245,44066WE,2021-01-04,6.0
246,460-400,2021-01-04,8.0
247,65-76765-10,2021-01-04,2.0
248,69B42967-1,2021-01-04,7.0
249,720752-10WE,2021-01-04,3.0
250,720752-14WE,2021-01-04,4.0
251,720752-33,2021-01-04,1.0
252,720752-58,2021-01-04,1.0
253,73-00015-10005,2021-01-04,1.0
254,75425A81,2021-01-04,2.0
255,81384-110,2021-01-04,1.0
256,81394-10,2021-01-04,10.0
257,863045-09,2021-01-04,24.0
258,AS3208-02,2021-01-04,6.0
259,AS43003-908,2021-01-04,3.0
260,BAC27TCH0231,2021-01-04,8.0
261,BAC707GRAY,2021-01-04,4.0
262,BACB30NW5K4,2021-01-04,2.0
263,BACB30NW5K5,2021-01-04,2.0
264,BACB30NW6K6X,2021-01-04,4.0
265,BACB30NX8K7X,2021-01-04,4.0
266,BACC10GU101,2021-01-04,2.0
267,BACR15BA4B6C,2021-01-04,1.0
268,BACS12HN3-6D,2021-01-04,3.0
269,BMS11-7,2021-01-04,16.0
270,FHR8-2,2021-01-04,8.0
271,GAW1122029,2021-01-04,7.0
272,KEMA06595,2021-01-04,5.0
273,LJ76102,2021-01-04,4.0
274,LM120749-20629,2021-01-04,1.0
275,LM121349-20629,2021-01-04,1.0
276,LM718910-20629,2021-01-04,1.0
277,M0BILJET0ILII,2021-01-04,24.0
278,M83248-1-011,2021-01-04,4.0
279,MARWEAR BLACK XL,2021-01-04,20.0
280,MARWEAR BLACK XXL,2021-01-04,20.0
281,ML3071BPEGPL,2021-01-04,150.0
282,NAS1149CN832R,2021-01-04,10.0
283,NAS1611-240A,2021-01-04,2.0
284,NAS1612-6A,2021-01-04,4.0
285,NAS1801-3-8,2021-01-04,10.0
286,NAS679C08M,2021-01-04,10.0
287,P629,2021-01-04,0.0
288,P629-3,2021-01-04,2.0
289,P8-02-0004-216,2021-01-04,2.0
290,R0YC011MS,2021-01-04,1.0
291,RSN62CD,2021-01-04,8.0
292,S9413-012,2021-01-04,4.0
293,VHP450KA1,2021-01-04,5.0
294,YA211-25,2021-01-04,1.0
295,1002BB6,2021-01-05,1.0
296,10-60754-79,2021-01-05,10.0
297,1090-06,2021-01-05,2.0
298,132050180,2021-01-05,20.0
299,1665,2021-01-05,2.0
300,1691,2021-01-05,10.0
301,387,2021-01-05,100.0
302,411N1240-1,2021-01-05,1.0
303,55-2199-3,2021-01-05,-1.0
304,594-20629,2021-01-05,1.0
305,63-495,2021-01-05,16.0
306,65-76765-10,2021-01-05,1.0
307,65C33095-5,2021-01-05,11.0
308,65C33161-5,2021-01-05,4.0
309,69-77135-1,2021-01-05,4.0
310,69B90191-4,2021-01-05,-1.0
311,720752-33,2021-01-05,-1.0
312,720752-58,2021-01-05,-2.0
313,7588429,2021-01-05,1.0
314,808048-4,2021-01-05,1.0
315,81384-110,2021-01-05,-1.0
316,81394-10,2021-01-05,-9.0
317,AS3208-02,2021-01-05,-1.0
318,AS3209-009,2021-01-05,2.0
319,AS3209-226,2021-01-05,1.0
320,BAC27NCT0166,2021-01-05,1.0
321,BAC27NCT0292,2021-01-05,1.0
322,BACB10HS07RTBC22,2021-01-05,1.0
323,BACB30NW5K4,2021-01-05,2.0
324,BACB30NW5K5,2021-01-05,2.0
325,BACB30NW6K4X,2021-01-05,7.0
326,BACC10GU101,2021-01-05,3.0
327,BACN10YR3CD,2021-01-05,1.0
328,BACP11K4,2021-01-05,1.0
329,BACR15BA4B6C,2021-01-05,-1.0
330,BACS12GU3K10,2021-01-05,1.0
331,BACS12GU3K8,2021-01-05,1.0
332,BCREF167290,2021-01-05,1.0
333,BMS3-33,2021-01-05,2.0
334,C28-15,2021-01-05,20.0
335,CR3213-6-03,2021-01-05,30.0
336,CR3213-6-2,2021-01-05,50.0
337,GREASE33TUBE,2021-01-05,2.0
338,KR0IL,2021-01-05,1.0
339,KT43-1276,2021-01-05,16.0
340,LJ75011,2021-01-05,1.0
341,LM522510-20629,2021-01-05,1.0
342,LM718947-20629,2021-01-05,1.0
343,LPS1,2021-01-05,1.0
344,M83248-1-011,2021-01-05,2.0
345,M83248-1-907,2021-01-05,0.0
346,MS20995C41,2021-01-05,1.0
347,NAS1149D0316H,2021-01-05,4.0
348,NAS679A3W,2021-01-05,1.0
349,P629,2021-01-05,1.0
350,P629-3,2021-01-05,2.0
351,R0YC011MS,2021-01-05,2.0
352,SNP3410K2,2021-01-05,1.0
353,UP10575,2021-01-05,-1.0
354,033527,2021-01-06,2.0
355,10-60754-32,2021-01-06,4.0
356,10-60754-79,2021-01-06,18.0
357,107175,2021-01-06,200.0
358,11-10638,2021-01-06,1.0
359,113N1810-39,2021-01-06,4.0
360,16335,2021-01-06,1.0
361,16700,2021-01-06,2.0
362,1743705,2021-01-06,2.0
363,2-329N674-70,2021-01-06,2.0
364,411N1240-1,2021-01-06,1.0
365,4208-100,2021-01-06,1.0
366,460-400,2021-01-06,-8.0
367,46365A87,2021-01-06,2.0
368,48-1825-02,2021-01-06,10.0
369,654T0035-23,2021-01-06,2.0
370,69B42967-1,2021-01-06,-1.0
371,720752-10WE,2021-01-06,-1.0
372,720752-14WE,2021-01-06,-1.0
373,73-00015-10005,2021-01-06,1.0
374,740001,2021-01-06,9.0
375,740007,2021-01-06,4.0
376,856504-2,2021-01-06,1.0
377,AN960JD10,2021-01-06,2.0
378,AS3208-02,2021-01-06,-3.0
379,AS3208-05,2021-01-06,1.0
380,AS43013-154,2021-01-06,2.0
381,BACB30LE4DU21,2021-01-06,1.0
382,BACB30NM3K4,2021-01-06,8.0
383,BACB30NW5K4,2021-01-06,-2.0
384,BACC30M10,2021-01-06,3.0
385,BACN10JR3F,2021-01-06,20.0
386,BHV7091L,2021-01-06,200.0
387,BHV7093L,2021-01-06,120.0
388,BMS13-54TY3CL1-D,2021-01-06,1500.0
389,BSH10280L,2021-01-06,144.0
390,CR3523-6-5,2021-01-06,3.0
391,FHR8-2,2021-01-06,-2.0
392,GAW1122029,2021-01-06,-1.0
393,KB27123,2021-01-06,1.0
394,MARWEAR BLACK M,2021-01-06,10.0
395,MARWEAR BLACK XXL,2021-01-06,10.0
396,MS21141U0605P,2021-01-06,6.0
397,MS24665-132,2021-01-06,2.0
398,NAS1149D0416H,2021-01-06,4.0
399,NAS1149D0416J,2021-01-06,4.0
400,NAS1523C4R,2021-01-06,20.0
401,NAS1611-240A,2021-01-06,1.0
402,PLT3IM,2021-01-06,50.0
403,PLT4SC,2021-01-06,20.0
404,QA03963WE,2021-01-06,1.0
405,S8990-608,2021-01-06,1.0
406,S9413-012,2021-01-06,-2.0
407,TA025028-10,2021-01-06,4.0
408,TA025028-16,2021-01-06,3.0
409,YA211-25,2021-01-06,1.0
410,16700,2021-01-07,3.0
411,612V59-0010-2,2021-01-07,12.0
412,654N0035-2,2021-01-07,2.0
413,654T0035-2,2021-01-07,2.0
414,684-4-33,2021-01-07,4.0
415,7075-0-071,2021-01-07,20.0
416,BACB30LE4DU19,2021-01-07,1.0
417,BACB30NN4K12,2021-01-07,9.0
418,BACB30NW8K5,2021-01-07,4.0
419,BACB30NX6K5X,2021-01-07,6.0
420,BACB30NX6K6X,2021-01-07,8.0
421,BACB30NX6K7X,2021-01-07,12.0
422,BACB30NX6K8X,2021-01-07,8.0
423,BACB30NX8K5X,2021-01-07,8.0
424,BACB30NX8K6X,2021-01-07,8.0
425,BACB30NX8K7X,2021-01-07,8.0
426,BACC30AG6,2021-01-07,20.0
427,BACC30M6,2021-01-07,40.0
428,BACC30M8,2021-01-07,20.0
429,BACC30R8,2021-01-07,4.0
430,BACN10JR3F,2021-01-07,-20.0
431,BACN10YR3CM,2021-01-07,1.0
432,BACS12HN3U8,2021-01-07,1.0
433,BMS3-33,2021-01-07,11.0
434,GREASE33TUBE,2021-01-07,11.0
435,M81969-14-03,2021-01-07,2.0
436,MS24665-132,2021-01-07,0.0
437,MS24665-134,2021-01-07,4.0
438,NAS1149C0332R,2021-01-07,4.0
439,NAS1149D0416J,2021-01-07,22.0
440,NAS1611-111A,2021-01-07,2.0
441,NAS1612-10A,2021-01-07,3.0
442,NAS1612-4,2021-01-07,1.0
443,NAS620-4L,2021-01-07,3.0
444,RTV174,2021-01-07,1.0
445,YA211-25,2021-01-07,1.0
446,001037,2021-01-08,24.0
447,10-60754-32,2021-01-08,2.0
448,113N1810-39,2021-01-08,2.0
449,2-376S317-60,2021-01-08,2.0
450,684-4-33,2021-01-08,2.0
451,A35789,2021-01-08,6.0
452,AS43013-120,2021-01-08,2.0
453,AS568-275S59-70,2021-01-08,2.0
454,BACB30NM3K4,2021-01-08,30.0
455,BACB30NM3K5,2021-01-08,30.0
456,BACB30NX6K3X,2021-01-08,6.0
457,BACN10JC6CD,2021-01-08,2.0
458,BACW10BP4CD,2021-01-08,6.0
459,BMS3-33,2021-01-08,10.0
460,BMS8-45H,2021-01-08,1.0
461,GREASE33TUBE,2021-01-08,10.0
462,HLX64621,2021-01-08,4.0
463,NAS1149C0432R,2021-01-08,8.0
464,NAS1611-113A,2021-01-08,4.0
465,R0YC011MS,2021-01-08,25.0
466,RTV174,2021-01-08,1.0
467,S4933959-521,2021-01-08,20.0
468,BACW10BP7APU,2021-01-09,4.0
469,NAS1805-7P,2021-01-09,4.0
470,CB200-40,2021-01-10,1.0
471,1111-0006-1,2021-01-11,4.0
472,1416086,2021-01-11,20.0
473,150B,2021-01-11,2.0
474,16204-002,2021-01-11,4.0
475,16302-006,2021-01-11,4.0
476,1A123-0093-5,2021-01-11,1.0
477,2-132N602-70,2021-01-11,4.0
478,213N1106-1,2021-01-11,2.0
479,2A083-0613-11,2021-01-11,2.0
480,3-16SIFZ45PPIWFR,2021-01-11,1.0
481,3803419,2021-01-11,-1.0
482,3-907N103-70,2021-01-11,16.0
483,411N3210-90,2021-01-11,4.0
484,4208-100,2021-01-11,1.0
485,425L,2021-01-11,1.0
486,44066WE,2021-01-11,12.0
487,460-400,2021-01-11,12.0
488,4670,2021-01-11,1.0
489,47179,2021-01-11,1.0
490,4907-52,2021-01-11,2.0
491,4A114-0016-1,2021-01-11,1.0
492,5113WW,2021-01-11,25.0
493,69494J910WE,2021-01-11,3.0
494,7075-0-071,2021-01-11,24.0
495,720752-10WE,2021-01-11,2.0
496,720752-14WE,2021-01-11,4.0
497,720752-33,2021-01-11,1.0
498,720752-58,2021-01-11,1.0
499,75425A81,2021-01-11,1.0
500,A0860,2021-01-11,-2.0
501,ACICC00293-764,2021-01-11,2.0
502,ACICC00295-02,2021-01-11,2.0
503,ACIFL00105-764,2021-01-11,20.0
504,ADKB54T0035-7,2021-01-11,1.0
505,AS15001-1P,2021-01-11,3.0
506,AS3208-02,2021-01-11,3.0
507,AS3209-009,2021-01-11,4.0
508,AS43003-906,2021-01-11,1.0
509,AS43003-908,2021-01-11,6.0
510,BACB30NM3K4,2021-01-11,-30.0
511,BACB30NN3K5,2021-01-11,110.0
512,BACB30NX10K14,2021-01-11,2.0
513,BACC10GU105,2021-01-11,4.0
514,BACC10GU106,2021-01-11,3.0
515,BACN10YD3G,2021-01-11,0.0
516,BACP18BC03A06P,2021-01-11,200.0
517,BACR12BM111,2021-01-11,1.0
518,BACR12BM212,2021-01-11,1.0
519,BACR12BM217,2021-01-11,1.0
520,BACR13CD2,2021-01-11,1.0
521,BACS12CK3-8,2021-01-11,0.0
522,C11236-111B,2021-01-11,1.0
523,CC55786,2021-01-11,1.0
524,FHR8-2,2021-01-11,8.0
525,G02219,2021-01-11,1.0
526,GTS345-905,2021-01-11,3.0
527,HLX64621,2021-01-11,4.0
528,KB27161,2021-01-11,2.0
529,KR0IL,2021-01-11,1.0
530,L0CTITE51094,2021-01-11,2.0
531,LJ75011,2021-01-11,1.0
532,LJ76102,2021-01-11,1.0
533,M25988-1-110,2021-01-11,8.0
534,M83248-1-011,2021-01-11,4.0
535,M83461-1-226,2021-01-11,12.0
536,M83461-1-346,2021-01-11,4.0
537,MS28774-116,2021-01-11,2.0
538,MS29513-226,2021-01-11,12.0
539,MS29513-240,2021-01-11,2.0
540,MS29513-244,2021-01-11,2.0
541,MS35489-4X,2021-01-11,1.0
542,MS9385-07,2021-01-11,2.0
543,NAS1149C0332R,2021-01-11,0.0
544,NAS1149F0363P,2021-01-11,0.0
545,NAS1611-111A,2021-01-11,1.0
546,NAS1611-116A,2021-01-11,1.0
547,NAS1611-217A,2021-01-11,1.0
548,NAS1612-20A,2021-01-11,1.0
549,NAS1612-8,2021-01-11,1.0
550,NAS679C08M,2021-01-11,24.0
551,P208-1,2021-01-11,1.0
552,QA07624,2021-01-11,2.0
553,SAMPLEKIT,2021-01-11,3.0
554,SL4093-14,2021-01-11,-4.0
555,SL4193,2021-01-11,-4.0
556,SNP3410K2,2021-01-11,4.0
557,TA025028-10,2021-01-11,18.0
558,TA025028-16,2021-01-11,18.0
559,X200,2021-01-11,8.0
560,10-60754-79,2021-01-12,7.0
561,108-2,2021-01-12,3.0
562,123E1520,2021-01-12,100.0
563,13206-001,2021-01-12,1.0
564,13206-001FS,2021-01-12,1.0
565,2024T3-071,2021-01-12,96.0
566,290FR3,2021-01-12,3.0
567,425L,2021-01-12,4.0
568,45-192,2021-01-12,6.0
569,4907-52,2021-01-12,2.0
570,5100-137,2021-01-12,6.0
571,609850,2021-01-12,2.0
572,612V59-0010-2,2021-01-12,1.0
573,654T0035-23,2021-01-12,-1.0
574,65-5930119,2021-01-12,12.0
575,68-1125,2021-01-12,1.0
576,68-1520,2021-01-12,6.0
577,68-1523,2021-01-12,6.0
578,68-269,2021-01-12,1.0
579,68-404,2021-01-12,1.0
580,684-4-33,2021-01-12,3.0
581,728873-1,2021-01-12,1.0
582,740001,2021-01-12,1.0
583,7586649,2021-01-12,6.0
584,89-13,2021-01-12,2.0
585,A1-26-0086-002,2021-01-12,1.0
586,AS3208-02,2021-01-12,1.0
587,AS35046,2021-01-12,6.0
588,ASC251T,2021-01-12,1.0
589,BACB30MY8K8,2021-01-12,8.0
590,BACB30NM3K6,2021-01-12,1.0
591,BACB30NY6K4,2021-01-12,16.0
592,BACB30NY6K7,2021-01-12,2.0
593,BACB30NY8K7,2021-01-12,6.0
594,BACB30NY8K8,2021-01-12,4.0
595,BACC30M6,2021-01-12,300.0
596,BACP18BC03A08P,2021-01-12,2.0
597,BACP18BC04A12P,2021-01-12,2.0
598,BACR12BM211,2021-01-12,2.0
599,BACR13CJ2,2021-01-12,2.0
600,BACR15FT6D6C,2021-01-12,1.0
601,BACW10P186CC,2021-01-12,2.0
602,BMS3-33,2021-01-12,14.0
603,BMS5-133TYPEII,2021-01-12,3.0
604,C0RBAN27L,2021-01-12,3.0
605,C11236-211B,2021-01-12,2.0
606,CB6009CR3-1P,2021-01-12,-4.0
607,FN12M02,2021-01-12,6.0
608,GAW1122029,2021-01-12,6.0
609,GREASE33TUBE,2021-01-12,14.0
610,GUYBLAST20-30,2021-01-12,25.0
611,KB27114,2021-01-12,-2.0
612,KB27123,2021-01-12,1.0
613,KR0IL,2021-01-12,5.0
614,LK46713,2021-01-12,1.0
615,LPS3-AER0SOL,2021-01-12,1.0
616,M31400,2021-01-12,4.0
617,MARWEAR BLACK L,2021-01-12,10.0
618,MS35489-4X,2021-01-12,2.0
619,N5000-137,2021-01-12,6.0
620,NAS1149DN816J,2021-01-12,2.0
621,NAS1611-211,2021-01-12,1.0
622,NAS514P632-7,2021-01-12,4.0
623,NAS514P832-7,2021-01-12,4.0
624,NS202637-02,2021-01-12,7.0
625,P2-07-0021-002,2021-01-12,1.0
626,P629,2021-01-12,1.0
627,P629-3,2021-01-12,3.0
628,RTV106,2021-01-12,2.0
629,RTV174,2021-01-12,2.0
630,VHP450KA1,2021-01-12,20.0
631,0000565,2021-01-13,25.0
632,012N8957-40,2021-01-13,25.0
633,020-001-847,2021-01-13,1.0
634,13206-001,2021-01-13,1.0
635,13206-001FS,2021-01-13,1.0
636,1416086,2021-01-13,20.0
637,43-668,2021-01-13,8.0
638,4551,2021-01-13,10.0
639,5103-30Z,2021-01-13,1.0
640,612V59-0010-2,2021-01-13,3.0
641,684-4-33,2021-01-13,2.0
642,728873-1,2021-01-13,1.0
643,73-00015-00005,2021-01-13,1.0
644,73-00015-10005,2021-01-13,1.0
645,740001,2021-01-13,-1.0
646,78-123,2021-01-13,26.0
647,78-129WE,2021-01-13,78.0
648,78-132,2021-01-13,13.0
649,90-0327-1WE,2021-01-13,1.0
650,A1-26-0086-002,2021-01-13,4.0
651,AS21512,2021-01-13,-1.0
652,AS43003-906,2021-01-13,1.0
653,BACB30MY5K5,2021-01-13,4.0
654,BACB30MY6K3,2021-01-13,4.0
655,BACB30MY6K4,2021-01-13,20.0
656,BACB30MY6K5,2021-01-13,20.0
657,BACC30M6,2021-01-13,30.0
658,BACC30M8,2021-01-13,8.0
659,BACJ40E20-40,2021-01-13,1.0
660,BACR13CG2A,2021-01-13,2.0
661,BACW10BP8CD,2021-01-13,2.0
662,E01002531511525,2021-01-13,25.0
663,E05805001011525,2021-01-13,25.0
664,HLX64621,2021-01-13,-2.0
665,LK46713,2021-01-13,-1.0
666,LM29710-2-629,2021-01-13,2.0
667,M0LYK0TED321R400,2021-01-13,4.0
668,M224749-20629,2021-01-13,1.0
669,MS29513-022,2021-01-13,2.0
670,MS51865-6,2021-01-13,8.0
671,NAS514P632-7,2021-01-13,10.0
672,PLT15IC,2021-01-13,200.0
673,PLT3IM,2021-01-13,200.0
674,R9003,2021-01-13,1.0
675,RTV174,2021-01-13,1.0
676,SAU10517,2021-01-13,2.0
677,TURBONYCOIL3516,2021-01-13,10.0
678,VHP450KA1,2021-01-13,1.0
679,1002BB6,2021-01-14,3.0
680,1002BB7,2021-01-14,2.0
681,10-60754-32,2021-01-14,7.0
682,113N1810-39,2021-01-14,7.0
